Title,Company,Location,Post_Date,URL,Current Status,Source,Real,data,dataset,data analysis
Brand Journalist - LHI,UnitedHealth Group,"La Crosse, WI 54602",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=5d8abc59970031f9,nan,indeed,True,nan,nan,nan
Investigative Reporter,TEGNA,"Austin, TX",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=8b44a24dba841473,nan,indeed,True,2.0,nan,nan
Enterprise Editor,Times-News,"Twin Falls, ID 83301",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=94b8bdcae1eeaf7c,nan,indeed,True,nan,nan,nan
"Product Manager, Newsletters",Digital First Media,"San Jose, CA",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=b9bbbbf005e80e2c,nan,indeed,True,1.0,nan,nan
Weekend Anchor/Producer/Reporter,Nexstar Broadcasting,"Mount Pleasant, SC",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=63ce3efb9f9babab,nan,indeed,True,nan,nan,nan
Journalist,Tribune Publishing,"Orlando, FL",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=ef5b722fc7f84478,nan,indeed,True,nan,nan,nan
Journalist,AccuWeather,"State College, PA",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=5bb295016bd2b99b,nan,indeed,True,2.0,nan,nan
Digital Video and Broadcast Editor,NBCUniversal,"Hartford, CT",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=baf95bb4f1d08c79,nan,indeed,True,nan,nan,nan
WFTX Managing Editor,The E.W. Scripps Company,"Fort Myers, FL",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=e1a5f5114d394f8d,nan,indeed,True,nan,nan,nan
"Social Media Editor, Digital News",NPR,"Washington, DC",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=c89f847ef4b3b006,nan,indeed,True,nan,nan,nan
Photo Journalist,Nexstar Broadcasting,"East Providence, RI",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=a3e77d4df80dd63d,nan,indeed,True,nan,nan,nan
Newsroom App Developer,Dow Jones,"New York, NY 10176 (Murray Hill area)",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=d7c6482502ebe237,nan,indeed,True,nan,nan,nan
Producer/Reporter,University of Arizona,"Tucson, AZ",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=066e2564affad419,nan,indeed,True,nan,nan,nan
Investigative Reporter,Nexstar Broadcasting,"Austin, TX",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=7e09f69903f497e4,nan,indeed,True,1.0,nan,nan
Multimedia Journalist - Telemundo Boston,NBCUniversal,"Newton, MA",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=436a06f1d7b7795a,nan,indeed,True,nan,nan,nan
Staff Editor,The New York Times,"New York, NY",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=1e0b524902377932,nan,indeed,True,2.0,nan,nan
Multimedia Journalist-WTVF,The E.W. Scripps Company,"Nashville, TN 37219",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=c2b25ad38d3d2806,nan,indeed,True,nan,nan,nan
"Job 1670, Sports Editor - Glenwood Springs Post Independent",Swift Communications Inc,"Glenwood Springs, CO",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=42c61a56eaf02d07,nan,indeed,True,nan,nan,nan
Asia Entertainment Editor,Associated Press,Oregon,# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=2fd4d696447ebaf4,nan,indeed,True,nan,nan,nan
Broadcast + Digital Journalist,Fusion 360,"Salt Lake City, UT",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=0862f84d8b5349e8,nan,indeed,True,nan,nan,nan
"Managing Editor, Signal Newsletter",Eurasia Group,Remote,# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=e50dbd75f7c02652,nan,indeed,True,nan,nan,nan
Regional Editor,CoStar Group,"Dallas, TX 75201 (City Center District area)",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=455c75e587a1723d,nan,indeed,True,2.0,nan,nan
KARD Multi Media Journalist/Meteorologist,Nexstar Broadcasting,"West Monroe, LA",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=44f81249304655f2,nan,indeed,True,nan,nan,nan
Weekend Morning Anchor / Multi-Skilled Journalist,TEGNA,"Sacramento, CA",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=833240c22806e1ce,nan,indeed,True,nan,nan,nan
Multi-Skilled Journalist (MSJ) / Reporter,TEGNA,"San Diego, CA",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=efe10011ed1608cf,nan,indeed,True,nan,nan,nan
Multi-Skilled Journalist / Weekend Anchor,TEGNA,"Beaumont, TX",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=a1ef5b52f6c36a0e,nan,indeed,True,nan,nan,nan
"Newsroom Coordinator, Talent",Dow Jones,"New York, NY 10176 (Murray Hill area)",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=f84c5d250126e3d7,nan,indeed,True,nan,nan,nan
Weekend Producer / Multi Skilled Journalist,TEGNA,"Little Rock, AR",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=a9a621cf1c3f71ab,nan,indeed,True,nan,nan,nan
Multi-Skilled Journalist (MMJ),TEGNA,"Buffalo, NY",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=bf425bf15b1e4460,nan,indeed,True,nan,nan,nan
"Editorial Director, NYTLive",The New York Times,"New York, NY",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=576519e5454dbef4,nan,indeed,True,nan,nan,nan
"Senior Journalist, Opinions",Tribune Publishing,"Deerfield Beach, FL",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=e5f877a45419334e,nan,indeed,True,nan,nan,nan
"Reporter, News",Nexstar Broadcasting,"Spartanburg, SC",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=808446cde2dd4a5c,nan,indeed,True,nan,nan,nan
Wall Street Banks Correspondent (Level 1 Journalist),Thomson Reuters,"New York, NY 10036",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=2a5ab8f5e8ba65d2,nan,indeed,True,nan,nan,nan
"Editorial Assistant, Part Time",News & Observer Publishing Co.,"Raleigh, NC",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=f197bb9051732e10,nan,indeed,True,nan,nan,nan
Multi-Skilled Journalist / News Anchor,TEGNA,"Denver, CO",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=38bfb648d6006400,nan,indeed,True,nan,nan,nan
KERO - Multimedia Journalist,The E.W. Scripps Company,"Bakersfield, CA 93301",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=a2ad08161d53312c,nan,indeed,True,nan,nan,nan
Multi Media Journalist/Morning Enterprise Reporter,Nexstar Broadcasting,"Tampa, FL",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=257ca9feed6d4ac3,nan,indeed,True,nan,nan,nan
Weekend Meteorologist/Multimedia Journalist,Nexstar Broadcasting,"Roanoke, VA 24019",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=ffb7b1a48edfff3d,nan,indeed,True,nan,nan,nan
Content Editor,Fort Worth Star-Telegram,"Fort Worth, TX",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=cbde06111d30f335,nan,indeed,True,1.0,nan,nan
"Reporter, News Anchor",Nexstar Broadcasting,"Buffalo, NY",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=4386acd7c71f682d,nan,indeed,True,nan,nan,nan
Multi-Skilled Journalist (Reporter),TEGNA,"Boise, ID",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=13dfa505032455ea,nan,indeed,True,nan,nan,nan
Reporter/Multimedia Journalist,The E.W. Scripps Company,"Phoenix, AZ 85008 (Camelback East area)",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=1ac7c001a02845c5,nan,indeed,True,nan,nan,nan
Reporter,Nexstar Broadcasting,"Columbus, OH",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=bb856971086672d2,nan,indeed,True,nan,nan,nan
Media Reporter,The New York Times,"New York, NY",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=646658b8f9148f5b,nan,indeed,True,nan,nan,nan
Senior Video Journalist,The New York Times,"New York, NY",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=ac7798b1974c7b28,nan,indeed,True,nan,nan,nan
Internship- Features Reporter,Digital First Media,"Denver, CO",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=c59513438ff56a4d,nan,indeed,True,nan,nan,nan
Multi-Media Journalist,Meredith Corporation,"Mobile, AL",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=abc7b7bab3dbcf12,nan,indeed,True,nan,nan,nan
Weekend Anchor/ Multi-Skilled Journalist,TEGNA,"Grand Rapids, MI",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=556ccdbc2198a95c,nan,indeed,True,nan,nan,nan
Senior Video Journalist (Cinematography),The New York Times,"New York, NY",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=87efc021809bd119,nan,indeed,True,nan,nan,nan
Multimedia Journalist - KMTV,The E.W. Scripps Company,"Omaha, NE 68127",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=aab61f7a6065c46a,nan,indeed,True,nan,nan,nan
Investigative Multimedia Journalist,The E.W. Scripps Company,"Tucson, AZ 85710",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=2f103b584387a4e9,nan,indeed,True,nan,nan,nan
"Finance Reporter, FORTUNE",Meredith Corporation,"New York, NY 10017 (Midtown area)",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=05a3e6e24d4da624,nan,indeed,True,nan,nan,nan
Photojournalist,TEGNA,"Boise, ID",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=7cc1011264f8a287,nan,indeed,True,nan,nan,nan
MLex Copy Editor,LexisNexis,"Washington, DC 20006 (Foggy Bottom area)",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=9f3991b661c6e7b2,nan,indeed,True,nan,nan,nan
Reporter,Globe Gazette,"Mason City, IA 50401",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=4e608ac04b8bcd5d,nan,indeed,True,nan,nan,nan
"News Reporter, MultiMedia Journalist",Nexstar Broadcasting,"Salt Lake City, UT",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=c74c8dbcb43f9029,nan,indeed,True,nan,nan,nan
Multimedia Journalist,Meredith Corporation,"Atlanta, GA",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=87635bf6eabc4063,nan,indeed,True,nan,nan,nan
"Sr. Video Journalist, NYT Cooking",The New York Times,"New York, NY",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=aabc6a981d7c9489,nan,indeed,True,1.0,nan,nan
Tourism Business Reporter,The Miami Herald,"Doral, FL",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=f7cab3e6f59da10f,nan,indeed,True,2.0,nan,nan
"US Partnerships Manager, Google News Lab",Google,"New York, NY 10011 (Chelsea area)",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=d2c3d0cf63324774,nan,indeed,True,2.0,nan,nan
Senior Publishing Editor,Dow Jones,"New York, NY 10176 (Murray Hill area)",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=4d044b1e6c0d3fcf,nan,indeed,True,1.0,nan,nan
"Reporter, U.S. Power Sector",S&P Global,United States,# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=e2c1f105dc5c30f1,nan,indeed,True,nan,nan,nan
Host / Multi-Skilled Journalist,TEGNA,"Sacramento, CA",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=bcc16e4216084f04,nan,indeed,True,nan,nan,nan
Junior Sub-Editor,Euromoney Institutional Investor,"New York, NY",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=b29399c59aef206f,nan,indeed,True,nan,nan,nan
Multi-Media Video Journalist,Media Networks,"Durham, NC",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=87da227cf0a008eb,nan,indeed,True,nan,nan,nan
Video Journalist (Shooter/Editor/Graphics) - Freelance contract,Dow Jones,"New York, NY 10176 (Murray Hill area)",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=ed416f2cf8f43ce3,nan,indeed,True,nan,nan,nan
Editorial Writer,The New York Times,"New York, NY",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=fa9d2351fade1c30,nan,indeed,True,nan,nan,nan
Vacation Relief Photojournalist / MMJ,TEGNA,"Washington, DC",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=abf77c468e0c0353,nan,indeed,True,nan,nan,nan
Multi-Media Journalist/Reporter,Tribune Media Company,"Houston, TX",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=5193b1f9302765e2,nan,indeed,True,nan,nan,nan
MMJ - Reporter - WLBZ,TEGNA,"Bangor, ME",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=883bb863fadbebd8,nan,indeed,True,nan,nan,nan
"General Assignment Reporter, KABC-TV",Media Networks,"Glendale, CA",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=3ebd96e85333053f,nan,indeed,True,nan,nan,nan
"Multimedia Journalists - Rotorua, Tauranga",NZME.,"Sport, LA",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=7718b702d0c4f7f5,nan,indeed,True,nan,nan,nan
Enterprise Reporter,Fort Worth Star-Telegram,"Fort Worth, TX",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=1259f7c0e2fedb3f,nan,indeed,True,1.0,nan,nan
Reporter - Office Interior Design,CoStar Group,"Washington, DC 20005 (Logan Circle area)",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=4d4640a9cf838e3d,nan,indeed,True,2.0,nan,nan
SPORTS REPORTER/MULTIMEDIA JOURNALIST,Nexstar Broadcasting,"New Haven, CT",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=94436399155a2af3,nan,indeed,True,nan,nan,nan
Community Editor - Waihi & Whangamata,NZME.,"Sport, LA",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=849114eadac06f9b,nan,indeed,True,nan,nan,nan
Digital MultiMedia Journalist Reporter,Nexstar Broadcasting,"Lafayette, LA",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=7a0ed9f64a2c708d,nan,indeed,True,nan,nan,nan
WFMT.com Digital Editor (Freelance),"Window To The World Communications, Inc.","Chicago, IL",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=c783b8648d602221,nan,indeed,True,nan,nan,nan
Multimedia Journalist - Technology,Circa,"New York, NY 10017 (Midtown area)",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=9f1dcec0fb11229a,nan,indeed,True,nan,nan,nan
Senior Video Journalist - Open Source Reporting,The New York Times,"New York, NY",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=20fce6dff4f15bc4,nan,indeed,True,nan,nan,nan
Sports Multimedia Journalist,Nexstar Broadcasting,"Austin, TX",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=e7ce58bffda6fee0,nan,indeed,True,nan,nan,nan
"Designer, News and Features","Star Tribune Media Company, LLC.","Minneapolis, MN",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=c36b654cba535453,nan,indeed,True,nan,nan,nan
Producer - Newsgathering,Al Jazeera Media Network,"Washington, DC",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=e58d145ed75ca53e,nan,indeed,True,nan,nan,nan
Anchor/Video Journalist,NBCUniversal,"McAllen, TX",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=6fc5d974dc56ea5d,nan,indeed,True,nan,nan,nan
Investigative Multi-Skilled Journalist,TEGNA,"Tampa, FL",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=781c151c526d7b5c,nan,indeed,True,2.0,nan,nan
Reporter,Cox Media Group,"Tulsa, OK",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=b271e4fc1ee7a4d3,nan,indeed,True,nan,nan,nan
Web Editor,Nexstar Broadcasting,"Topeka, KS",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=628c08841b111ddf,nan,indeed,True,nan,nan,nan
WFMT.com Digital Editor (Freelance),WTTW Chicago,"Chicago, IL",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=6cbf10f5150e575a,nan,indeed,True,nan,nan,nan
KARD - Multi Media Journalist/Reporter,Nexstar Broadcasting,"West Monroe, LA",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=184568bf27b2f333,nan,indeed,True,nan,nan,nan
Creative Content Journalist,McKinley Marketing Partners,"McLean, VA",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=dd1281811771ab10,nan,indeed,True,nan,nan,nan
TV Live Center Anchor/Reporter,Capitol Broadcasting Company,"Raleigh, NC 27603",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=62557c5f53656977,nan,indeed,True,nan,nan,nan
Sports Reporter,Globe Gazette,"Mason City, IA 50401",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=894ac42284922c6e,nan,indeed,True,nan,nan,nan
PT News Production Assistant,Univision communications inc,"Raleigh, NC",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=6572a028b056fa2d,nan,indeed,True,nan,nan,nan
Night Editor,Digital First Media,"Monrovia, CA",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=0b7f67296373a6d1,nan,indeed,True,nan,nan,nan
Internship- City Desk Reporter,Digital First Media,"Denver, CO",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=a9ec8b682e58196d,nan,indeed,True,nan,nan,nan
Product Manager - Video and News Strategy,McClatchy,"Raleigh, NC",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=7797fd7d25ef6ffc,nan,indeed,True,4.0,nan,nan
